,company_permalink,funding_round_permalink,funding_round_type,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,primary_sector,main_sector
6471,/organization/axiom8-inc-,/funding-round/9d1422a4d0cbde7e99a646b130fae7e5,venture,10000000.0,/organization/axiom8-inc-,"Axiom8, Inc.",http://www.axiom8.com,Financial Services|Investment Management,operating,USA,CT,Hartford,Middletown,Financial Services,"Social, Finance, Analytics, Advertising"
6472,/organization/axiomed-spine,/funding-round/06881d4cbcd5f7c1f79478a2df1a4c4a,venture,9529987.0,/organization/axiomed-spine,AxioMed Spine,http://www.axiomed.com,Health Care,operating,USA,OH,Cleveland,Cleveland,Health Care,Health
6475,/organization/axiomed-spine,/funding-round/885c9d8272126ca8eafa149155ba4ab0,venture,15000000.0,/organization/axiomed-spine,AxioMed Spine,http://www.axiomed.com,Health Care,operating,USA,OH,Cleveland,Cleveland,Health Care,Health
6478,/organization/axiomed-spine,/funding-round/9959a7ff2c548775c6888bd89903d308,venture,6427016.0,/organization/axiomed-spine,AxioMed Spine,http://www.axiomed.com,Health Care,operating,USA,OH,Cleveland,Cleveland,Health Care,Health
6479,/organization/axiomed-spine,/funding-round/cc20cfef303e5f65b13d9af8cf48e6d4,venture,5000000.0,/organization/axiomed-spine,AxioMed Spine,http://www.axiomed.com,Health Care,operating,USA,OH,Cleveland,Cleveland,Health Care,Health
6506,/organization/axogen,/funding-round/bae0c8f68ffc281cad4184aff885ce29,venture,12100000.0,/organization/axogen,AxoGen,http://www.axogeninc.com,Biotechnology,ipo,USA,FL,Gainesville,Alachua,Biotechnology,Cleantech / Semiconductors
6523,/organization/axsun-technologies,/funding-round/230286eb3a6d483e68d1209e737da1e0,venture,15000000.0,/organization/axsun-technologies,AXSUN Technologies,http://www.axsun.com,Hardware + Software,operating,USA,MA,Boston,Billerica,Hardware + Software,Manufacturing
6525,/organization/axtria,/funding-round/717dbbdb5549ea157a551a8901a87486,venture,5600750.0,/organization/axtria,Axtria,http://axtria.com,Analytics|Big Data|Big Data Analytics|Business Intelligence|Distribution|Risk Management|Sales and Marketing|Software,operating,USA,NJ,Newark,Berkeley Heights,Analytics,"Social, Finance, Analytics, Advertising"
6539,/organization/ayasdi,/funding-round/13f0ba7709bdcf1358e3df8f1b443083,venture,10000000.0,/organization/ayasdi,Ayasdi,http://www.ayasdi.com,Analytics|Big Data|Big Data Analytics|Data Visualization|Machine Learning,operating,USA,CA,SF Bay Area,Menlo Park,Analytics,"Social, Finance, Analytics, Advertising"
6547,/organization/ayla-networks,/funding-round/551b87ecd822cd67129d958496b33f5d,venture,14500000.0,/organization/ayla-networks,Ayla Networks,http://aylanetworks.com,Hardware + Software|Internet of Things|Manufacturing|Services,operating,USA,CA,SF Bay Area,Sunnyvale,Hardware + Software,Manufacturing
6548,/organization/ayla-networks,/funding-round/79229cf75a78dd6ec251df0034b7bfc1,venture,5500000.0,/organization/ayla-networks,Ayla Networks,http://aylanetworks.com,Hardware + Software|Internet of Things|Manufacturing|Services,operating,USA,CA,SF Bay Area,Sunnyvale,Hardware + Software,Manufacturing
6549,/organization/ayla-networks,/funding-round/a7f63b734ed9056ad8e5cb57c8ec8c28,venture,5400000.0,/organization/ayla-networks,Ayla Networks,http://aylanetworks.com,Hardware + Software|Internet of Things|Manufacturing|Services,operating,USA,CA,SF Bay Area,Sunnyvale,Hardware + Software,Manufacturing
6552,/organization/aylus-networks,/funding-round/1aa667b1c94fdc0876a8632cb2c15d95,venture,5700000.0,/organization/aylus-networks,Aylus Networks,http://aylus.com,Mobile,operating,USA,MA,Boston,Westford,Mobile,"News, Search and Messaging"
6554,/organization/aylus-networks,/funding-round/8ef36fa7ea3218c2f880eb90b3cfa50a,venture,10000000.0,/organization/aylus-networks,Aylus Networks,http://aylus.com,Mobile,operating,USA,MA,Boston,Westford,Mobile,"News, Search and Messaging"
6555,/organization/aylus-networks,/funding-round/a854ce6d078084442d05ef5ee124184c,venture,15000000.0,/organization/aylus-networks,Aylus Networks,http://aylus.com,Mobile,operating,USA,MA,Boston,Westford,Mobile,"News, Search and Messaging"
6567,/organization/azalea-networks,/funding-round/f2191bac20686aa115067e4d9ce986c6,venture,15000000.0,/organization/azalea-networks,Azalea Networks,http://www.azaleanet.com,Mobile,acquired,USA,CA,SF Bay Area,Milpitas,Mobile,"News, Search and Messaging"
6568,/organization/azaleos,/funding-round/64628a9d5da0c6e1c25451038261f849,venture,10000000.0,/organization/azaleos,Azaleos,http://www.azaleos.com,Enterprise Software|Mobile|Unifed Communications|Web Development,acquired,USA,WA,Seattle,Seattle,Enterprise Software,Others
6569,/organization/azaleos,/funding-round/dc68e37c90b5fb8f62d15135402ed90c,venture,5000297.0,/organization/azaleos,Azaleos,http://www.azaleos.com,Enterprise Software|Mobile|Unifed Communications|Web Development,acquired,USA,WA,Seattle,Seattle,Enterprise Software,Others
6580,/organization/azimuth-systems,/funding-round/4bf739031c7376987009224f232dc43a,venture,12900000.0,/organization/azimuth-systems,Azimuth Systems,http://www.azimuthsystems.com,Telecommunications|Test and Measurement,operating,USA,MA,Boston,Acton,Telecommunications,Others
6581,/organization/azimuth-systems,/funding-round/75f3587e71ff073fbd2a0acf07db84c8,venture,10500000.0,/organization/azimuth-systems,Azimuth Systems,http://www.azimuthsystems.com,Telecommunications|Test and Measurement,operating,USA,MA,Boston,Acton,Telecommunications,Others
6582,/organization/azimuth-systems,/funding-round/9318b8f2ac43e4150c7341d93d68cf0f,venture,7500000.0,/organization/azimuth-systems,Azimuth Systems,http://www.azimuthsystems.com,Telecommunications|Test and Measurement,operating,USA,MA,Boston,Acton,Telecommunications,Others
6589,/organization/aztek-networks,/funding-round/097ee10e82340333401a062b998cd9df,venture,10049949.0,/organization/aztek-networks,Aztek Networks,http://www.azteknetworks.net,Web Hosting,acquired,USA,CO,Denver,Boulder,Web Hosting,Others
6592,/organization/aztek-networks,/funding-round/d76a6ff63424c9d8892d6d0dad6f6637,venture,6000000.0,/organization/aztek-networks,Aztek Networks,http://www.azteknetworks.net,Web Hosting,acquired,USA,CO,Denver,Boulder,Web Hosting,Others
6593,/organization/aztek-networks,/funding-round/db7642d1de52128a8dca625fea13dd88,venture,7500000.0,/organization/aztek-networks,Aztek Networks,http://www.azteknetworks.net,Web Hosting,acquired,USA,CO,Denver,Boulder,Web Hosting,Others
